"","Province","HASC","ISO","FIPS","Reg","Population","Area.km._.","Area.mi._.","oldFileProvinceName","province","MOPH_Admin_Code","ODPC_Code","alt_prov_name"
"1","Bangkok Metropolis","TH.BM",10,"TH40","C",8305218,"1,569","606","KrungThep",10,0,1,"Bangkok"
"2","Samut Prakan","TH.SP",11,"TH42","C",1828694,"1,004","388","SamutPrakan",11,6,3,"Samutprakarn"
"3","Nonthaburi","TH.NO",12,"TH38","C",1334083,"622","240","Nonthaburi",12,4,1,"Nonthaburi"
"4","Pathum Thani","TH.PT",13,"TH39","C",1327147,"1,526","589","PathumThani",13,4,1,"Pathumthani"
"5","Phra Nakhon Si Ayutthaya","TH.PA",14,"TH36","C",870671,"2,557","987","PhraNakhonSiAyutthaya",14,4,1,"Ayutthaya"
"6","Ang Thong","TH.AT",15,"TH35","C",254292,"968","374","AngThong",15,4,2,"Angthong"
"7","Lop Buri","TH.LB",16,"TH34","C",769925,"6,200","2,394","LopBuri",16,4,2,"Lopburi"
"8","Sing Buri","TH.SB",17,"TH33","C",199982,"823","318","SingBuri",17,4,2,"Singburi"
"9","Chai Nat","TH.CN",18,"TH32","C",305587,"2,470","954","ChaiNat",18,3,8,"Chainat"
"10","Saraburi","TH.SR",19,"TH37","C",717054,"3,577","1,381","Saraburi",19,4,2,"Saraburi"
"11","Chon Buri","TH.CB",20,"TH46","E",1555358,"4,363","1,685","ChonBuri",20,6,3,"Chonburi"
"12","Rayong","TH.RY",21,"TH47","E",821072,"3,552","1,371","Rayong",21,6,3,"Rayong"
"13","Chanthaburi","TH.CT",22,"TH48","E",485611,"6,338","2,447","Chanthaburi",22,6,3,"Chanthaburi"
"14","Trat","TH.TT",23,"TH49","E",247876,"2,819","1,088","Trat",23,6,3,"Trad"
"15","Chachoengsao","TH.CC",24,"TH44","C",715603,"5,351","2,066","Chachoengsao",24,6,3,"Chachoengsao"
"16","Prachin Buri","TH.PB",25,"TH74","C",546996,"4,762","1,839","PrachinBuri",25,6,3,"Prachinburi"
"17","Nakhon Nayok","TH.NN",26,"TH43","C",246868,"2,122","819","NakhonNayok",26,4,2,"Nakornnayok"
"18","Sa Kaeo","TH.SK",27,"TH80","C",555961,"7,195","2,778","",27,6,3,"Srakaew"
"19","Nakhon Ratchasima","TH.NR",30,"TH27","NE",2525975,"20,494","7,913","NakhonRatchasima",30,9,5,"Nakornrachasima"
"20","Buri Ram","TH.BR",31,"TH28","NE",1274921,"10,323","3,986","Buriram",31,9,5,"Burirum"
"21","Surin","TH.SU",32,"TH29","NE",1122900,"8,124","3,137","Surin",32,9,5,"Surin"
"22","Si Sa Ket","TH.SI",33,"TH30","NE",1055980,"8,840","3,413","Sisaket",33,10,7,"Srisaket"
"23","Ubon Ratchathani","TH.UR",34,"TH75","NE",1746790,"15,745","6,079","UbonRatchathani",34,10,7,"Ubolrachathani"
"24","Yasothon","TH.YS",35,"TH72","NE",487976,"4,162","1,607","Yasothon",35,10,7,"Yasothorn"
"25","Chaiyaphum","TH.CY",36,"TH26","NE",963907,"12,778","4,934","Chaiyaphum",36,9,5,"Chaiyapum"
"26","Amnat Charoen","TH.AC",37,"TH77","NE",283732,"3,161","1,221","",37,10,7,"Amnatcharoen"
"27","Bueng Kan","TH.BK",38,"TH81","NE",362754,"4,305","1,662","",38,8,6,"Bungkan"
"28","Nong Bua Lam Phu","TH.NB",39,"TH79","NE",485974,"3,859","1,490","",39,8,6,"Nongbualampu"
"29","Khon Kaen","TH.KK",40,"TH22","NE",1741980,"10,886","4,203","KhonKaen",40,7,6,"Konkaen"
"30","Udon Thani","TH.UN",41,"TH76","NE",1288365,"11,730","4,529","UdonThani",41,8,6,"Udornthani"
"31","Loei","TH.LE",42,"TH18","NE",546028,"11,425","4,411","Loei",42,8,6,"Loei"
"32","Nong Khai","TH.NH",43,"TH17","NE",458772,"3,027","1,169","NongKhai",43,8,6,"Nongkai"
"33","Maha Sarakham","TH.MS",44,"TH24","NE",827639,"5,292","2,043","MahaSarakham",44,7,6,"Mahasarakam"
"34","Roi Et","TH.RE",45,"TH25","NE",1084985,"8,299","3,204","RoiEt",45,7,6,"Roiet"
"35","Kalasin","TH.KL",46,"TH23","NE",824538,"6,947","2,682","Kalasin",46,7,6,"Kalasin"
"36","Sakon Nakhon","TH.SN",47,"TH20","NE",941810,"9,606","3,709","SakonNakhon",47,2,7,"Sakolnakorn"
"37","Nakhon Phanom","TH.NF",48,"TH73","NE",583726,"5,513","2,128","NakhonPhanom",48,2,7,"Nakornpanom"
"38","Mukdahan","TH.MD",49,"TH78","NE",357339,"4,340","1,676","",49,10,7,"Mukdahan"
"39","Chiang Mai","TH.CM",50,"TH02","N",1737041,"20,107","7,763","ChiangMai",50,1,10,"Chiengmai"
"40","Lamphun","TH.LN",51,"TH05","N",412741,"4,506","1,740","Lamphun",51,1,10,"Lampoon"
"41","Lampang","TH.LG",52,"TH06","N",743143,"12,534","4,839","Lampang",52,1,10,"Lampang"
"42","Uttaradit","TH.UD",53,"TH10","N",438578,"7,839","3,027","Uttaradit",53,2,9,"Uttradit"
"43","Phrae","TH.PR",54,"TH07","N",427398,"6,539","2,525","Phrae",54,1,10,"Phrae"
"44","Nan","TH.NA",55,"TH04","N",452814,"11,472","4,429","Nan",55,1,10,"Nan"
"45","Phayao","TH.PY",56,"TH41","N",417380,"6,335","2,446","Phayao",56,1,10,"Phayao"
"46","Chiang Rai","TH.CR",57,"TH03","N",1172928,"11,678","4,509","ChiangRai",57,1,10,"Chiengrai"
"47","Mae Hong Son","TH.MH",58,"TH01","N",209153,"12,681","4,896","MaeHongSon",58,1,10,"Maehongsorn"
"48","Nakhon Sawan","TH.NS",60,"TH16","N",992749,"9,598","3,706","NakhonSawan",60,3,8,"Nakornsawan"
"49","Uthai Thani","TH.UT",61,"TH15","N",297493,"6,730","2,599","UthaiThani",61,3,8,"Uthaithani"
"50","Kamphaeng Phet","TH.KP",62,"TH11","N",797391,"8,608","3,323","KamphaengPhet",62,3,8,"Kampangphet"
"51","Tak","TH.TK",63,"TH08","N",526382,"16,407","6,335","Tak",63,2,9,"Tak"
"52","Sukhothai","TH.SO",64,"TH09","N",629707,"6,596","2,547","Sukhothai",64,2,9,"Sukothai"
"53","Phitsanulok","TH.PS",65,"TH12","N",912827,"10,816","4,176","Phitsanulok",65,2,9,"Pitsanulok"
"54","Phichit","TH.PC",66,"TH13","N",548242,"4,531","1,749","Phichit",66,3,8,"Phichit"
"55","Phetchabun","TH.PH",67,"TH14","N",940076,"12,668","4,891","Phetchabun",67,2,9,"Petchaboon"
"56","Ratchaburi","TH.RT",70,"TH52","C",796748,"5,197","2,006","Ratchaburi",70,5,4,"Rachaburi"
"57","Kanchanaburi","TH.KN",71,"TH50","C",801519,"19,483","7,523","Kanchanaburi",71,5,4,"Kanchanaburi"
"58","Suphan Buri","TH.SH",72,"TH51","C",845561,"5,358","2,069","SuphanBuri",72,5,4,"Supanburi"
"59","Nakhon Pathom","TH.NP",73,"TH53","C",943892,"2,168","837","NakhonPathom",73,5,4,"Nakornpathom"
"60","Samut Sakhon","TH.SS",74,"TH55","C",887191,"872","337","SamutSakhon",74,5,4,"Samutsakorn"
"61","Samut Songkhram","TH.SM",75,"TH54","C",185564,"417","161","SamutSongkhram",75,5,4,"Samutsongkram"
"62","Phetchaburi","TH.PE",76,"TH56","C",472589,"6,225","2,404","Phetchaburi",76,5,4,"Petchburi"
"63","Prachuap Khiri Khan","TH.PK",77,"TH57","C",467466,"6,368","2,459","PrachuapKhiriKhan",77,5,4,"Prachaubkirikan"
"64","Nakhon Si Thammarat","TH.NT",80,"TH64","S",1450466,"9,943","3,839","NakhonSiThammarat",80,11,11,"Nakornsrithamarat"
"65","Krabi","TH.KR",81,"TH63","S",362203,"4,709","1,818","Krabi",81,11,11,"Krabi"
"66","Phangnga","TH.PG",82,"TH61","S",258535,"4,171","1,610","Phangnga",82,11,11,"Pangnga"
"67","Phuket","TH.PU",83,"TH62","S",525709,"543","210","Phuket",83,11,11,"Phuket"
"68","Surat Thani","TH.ST",84,"TH60","S",1009351,"12,892","4,977","SuratThani",84,11,11,"Suratthani"
"69","Ranong","TH.RN",85,"TH59","S",249017,"3,298","1,273","Ranong",85,11,11,"Ranong"
"70","Chumphon","TH.CP",86,"TH58","S",467801,"6,009","2,320","Chumphon",86,11,11,"Chumporn"
"71","Songkhla","TH.SG",90,"TH68","S",1481021,"7,394","2,855","Songkhla",90,12,12,"Songkla"
"72","Satun","TH.SA",91,"TH67","S",274863,"2,479","957","Satun",91,12,12,"Satun"
"73","Trang","TH.TG",92,"TH65","S",598877,"4,918","1,899","Trang",92,12,12,"Trang"
"74","Phatthalung","TH.PL",93,"TH66","S",480976,"3,425","1,322","Phatthalung",93,12,12,"Pattalung"
"75","Pattani","TH.PI",94,"TH69","S",609015,"1,940","749","Pattani",94,12,12,"Pattani"
"76","Yala","TH.YL",95,"TH70","S",433167,"4,521","1,746","Yala",95,12,12,"Yala"
"77","Narathiwat","TH.NW",96,"TH31","S",670002,"4,475","1,728","Narathiwat",96,12,12,"Narathiwat"
